X,CH1,
Second,Volt,
-1.40900e-04,8.60e+00,
-1.40800e-04,8.40e+00,
-1.40700e-04,8.60e+00,
-1.40600e-04,8.60e+00,
-1.40500e-04,8.40e+00,
-1.40400e-04,8.60e+00,
-1.40300e-04,8.40e+00,
-1.40200e-04,8.40e+00,
-1.40100e-04,8.60e+00,
-1.40000e-04,8.60e+00,
-1.39900e-04,8.40e+00,
-1.39800e-04,7.20e+00,
-1.39700e-04,-2.00e-01,
-1.39600e-04,-6.00e-01,
-1.39500e-04,-1.00e+00,
-1.39400e-04,-8.00e-01,
-1.39300e-04,-1.00e+00,
-1.39200e-04,-8.00e-01,
-1.39100e-04,-1.00e+00,
-1.39000e-04,-8.00e-01,
-1.38900e-04,-1.00e+00,
-1.38800e-04,-8.00e-01,
-1.38700e-04,-1.00e+00,
-1.38600e-04,-8.00e-01,
-1.38500e-04,-8.00e-01,
-1.38400e-04,-8.00e-01,
-1.38300e-04,-8.00e-01,
-1.38200e-04,-8.00e-01,
-1.38100e-04,-8.00e-01,
-1.38000e-04,-6.00e-01,
-1.37900e-04,-1.00e+00,
-1.37800e-04,-8.00e-01,
-1.37700e-04,-6.00e-01,
-1.37600e-04,-8.00e-01,
-1.37500e-04,-6.00e-01,
-1.37400e-04,-6.00e-01,
-1.37300e-04,-1.00e+00,
-1.37200e-04,-1.00e+00,
-1.37100e-04,-6.00e-01,
-1.37000e-04,-8.00e-01,
-1.36900e-04,-8.00e-01,
-1.36800e-04,-8.00e-01,
-1.36700e-04,-6.00e-01,
-1.36600e-04,-8.00e-01,
-1.36500e-04,-6.00e-01,
-1.36400e-04,-8.00e-01,
-1.36300e-04,-6.00e-01,
-1.36200e-04,-6.00e-01,
-1.36100e-04,-8.00e-01,
-1.36000e-04,-8.00e-01,
-1.35900e-04,-6.00e-01,
-1.35800e-04,-8.00e-01,
-1.35700e-04,-6.00e-01,
-1.35600e-04,-8.00e-01,
-1.35500e-04,-6.00e-01,
-1.35400e-04,-8.00e-01,
-1.35300e-04,-6.00e-01,
-1.35200e-04,-8.00e-01,
-1.35100e-04,-6.00e-01,
-1.35000e-04,-8.00e-01,
-1.34900e-04,-6.00e-01,
-1.34800e-04,-8.00e-01,
-1.34700e-04,-6.00e-01,
-1.34600e-04,-8.00e-01,
-1.34500e-04,-6.00e-01,
-1.34400e-04,-6.00e-01,
-1.34300e-04,-8.00e-01,
-1.34200e-04,-8.00e-01,
-1.34100e-04,-6.00e-01,
-1.34000e-04,-8.00e-01,
-1.33900e-04,-6.00e-01,
-1.33800e-04,-6.00e-01,
-1.33700e-04,-8.00e-01,
-1.33600e-04,-2.00e-01,
-1.33500e-04,-8.00e-01,
-1.33400e-04,-8.00e-01,
-1.33300e-04,-2.00e-01,
-1.33200e-04,-8.00e-01,
-1.33100e-04,4.80e+00,
-1.33000e-04,5.60e+00,
-1.32900e-04,8.40e+00,
-1.32800e-04,8.60e+00,
-1.32700e-04,8.60e+00,
-1.32600e-04,8.60e+00,
-1.32500e-04,8.80e+00,
-1.32400e-04,8.60e+00,
-1.32300e-04,8.80e+00,
-1.32200e-04,8.40e+00,
-1.32100e-04,8.60e+00,
-1.32000e-04,8.60e+00,
-1.31900e-04,8.60e+00,
-1.31800e-04,8.60e+00,
-1.31700e-04,8.60e+00,
-1.31600e-04,8.60e+00,
-1.31500e-04,8.40e+00,
-1.31400e-04,8.60e+00,
-1.31300e-04,8.40e+00,
-1.31200e-04,8.60e+00,
-1.31100e-04,8.40e+00,
-1.31000e-04,8.40e+00,
-1.30900e-04,8.60e+00,
-1.30800e-04,8.60e+00,
-1.30700e-04,8.40e+00,
-1.30600e-04,8.40e+00,
-1.30500e-04,8.60e+00,
-1.30400e-04,8.60e+00,
-1.30300e-04,8.20e+00,
-1.30200e-04,8.60e+00,
-1.30100e-04,8.60e+00,
-1.30000e-04,8.40e+00,
-1.29900e-04,8.60e+00,
-1.29800e-04,8.60e+00,
-1.29700e-04,8.20e+00,
-1.29600e-04,8.20e+00,
-1.29500e-04,8.60e+00,
-1.29400e-04,8.60e+00,
-1.29300e-04,8.40e+00,
-1.29200e-04,8.60e+00,
-1.29100e-04,8.60e+00,
-1.29000e-04,8.60e+00,
-1.28900e-04,8.40e+00,
-1.28800e-04,8.60e+00,
-1.28700e-04,8.40e+00,
-1.28600e-04,8.60e+00,
-1.28500e-04,8.40e+00,
