X,CH1,CH2,
Second,Volt,Volt,
1.02650e-03,1.44e+00,0.00e+00,
1.02660e-03,1.44e+00,0.00e+00,
1.02670e-03,1.50e+00,2.00e-02,
1.02680e-03,1.50e+00,0.00e+00,
1.02690e-03,1.54e+00,2.00e-02,
1.02700e-03,1.54e+00,2.00e-02,
1.02710e-03,1.56e+00,0.00e+00,
1.02720e-03,1.54e+00,2.00e-02,
1.02730e-03,1.56e+00,0.00e+00,
1.02740e-03,1.56e+00,2.00e-02,
1.02750e-03,1.54e+00,0.00e+00,
1.02760e-03,1.54e+00,2.00e-02,
1.02770e-03,1.50e+00,4.00e-02,
1.02780e-03,1.50e+00,2.00e-02,
1.02790e-03,1.44e+00,4.00e-02,
1.02800e-03,1.46e+00,2.00e-02,
1.02810e-03,1.38e+00,4.00e-02,
1.02820e-03,1.38e+00,2.00e-02,
1.02830e-03,1.30e+00,4.00e-02,
1.02840e-03,1.30e+00,4.00e-02,
1.02850e-03,1.18e+00,2.00e-02,
1.02860e-03,1.18e+00,4.00e-02,
1.02870e-03,1.06e+00,2.00e-02,
1.02880e-03,1.06e+00,4.00e-02,
1.02890e-03,9.20e-01,2.00e-02,
1.02900e-03,9.00e-01,4.00e-02,
